subscription_id,listener_id,tier,start_date,end_date,monthly_price_eur
S001,L001,premium,2023-01-15,,9.99
S002,L002,free,2023-02-20,,0.00
S003,L003,premium,2023-03-01,2023-12-01,9.99
S004,L004,family,2023-03-15,,14.99
S005,L005,premium,2023-04-01,,9.99
S006,L006,free,2023-04-10,,0.00
S007,L007,student,2023-05-05,,4.99
S008,L008,free,2023-05-20,,0.00
S009,L009,premium,2023-06-01,2023-09-01,9.99
S010,L010,family,2023-06-15,,14.99
S011,L011,premium,2023-07-01,,9.99
S012,L012,free,2023-07-20,,0.00
S013,L013,student,2023-08-01,,4.99
S014,L014,premium,2023-08-15,,9.99
S015,L015,free,2023-09-01,,0.00
S016,L001,free,2022-06-01,2023-01-14,0.00
S017,L004,premium,2022-09-01,2023-03-14,9.99
S018,L003,invalid_tier,2024-01-01,,9.99
